"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"130",9,"Juwan Johnson",NO,"TE15","8","4 out of 5","2 out of 5","2 out of 5 stars","+20"
"131",9,"De'Zhaun Stribling",SF,"WR54","8","3 out of 5","4 out of 5","2 out of 5 stars","-18"
"132",9,"Mark Andrews",BAL,"TE16","13","4 out of 5","4 out of 5","4 out of 5 stars","-4"
"133",9,"Woody Marks",HOU,"RB42","8","3 out of 5","4 out of 5","4 out of 5 stars","+4"
"134",9,"Jordyn Tyson",NO,"WR55","8","4 out of 5","5 out of 5","3 out of 5 stars","+11"
"135",9,"Chris Rodriguez Jr.",JAC,"RB43","7","3 out of 5","4 out of 5","4 out of 5 stars","+1"
"136",9,"Tyler Allgeier",ARI,"RB44","14","3 out of 5","4 out of 5","2 out of 5 stars","+5"
"137",9,"Sam Darnold",SEA,"QB22","11","1 out of 5","4 out of 5","4 out of 5 stars","+47"
"138",9,"Tyjae Spears",TEN,"RB45","9","3 out of 5","4 out of 5","3 out of 5 stars","+6"
"139",9,"C.J. Stroud",HOU,"QB23","8","3 out of 5","4 out of 5","4 out of 5 stars","+42"
"140",9,"Deebo Samuel Sr.",SF,"WR56","8","4 out of 5","3 out of 5","2 out of 5 stars","-7"
"141",9,"Josh Jacobs",GB,"RB46","11","3 out of 5","5 out of 5","4 out of 5 stars","-95"
"142",9,"Daniel Jones",IND,"QB24","13","4 out of 5","4 out of 5","4 out of 5 stars","+36"
"143",9,"Rashid Shaheed",SEA,"WR57","11","3 out of 5","4 out of 5","3 out of 5 stars","+3"
"144",9,"Dylan Sampson",CLE,"RB47","11","4 out of 5","2 out of 5","3 out of 5 stars","+26"
"145",9,"Keaton Mitchell",LAC,"RB48","7","4 out of 5","3 out of 5","3 out of 5 stars","+16"
"146",9,"Jonah Coleman",DEN,"RB49","10","3 out of 5","4 out of 5","2 out of 5 stars","+14"
"147",9,"Denzel Boston",CLE,"WR58","11","4 out of 5","4 out of 5","3 out of 5 stars","+21"
"148",9,"Cam Ward",TEN,"QB25","9","4 out of 5","4 out of 5","3 out of 5 stars","+66"
"149",9,"Zach Charbonnet",SEA,"RB50","11","3 out of 5","4 out of 5","4 out of 5 stars","-6"
"150",9,"Dalton Schultz",HOU,"TE17","8","4 out of 5","2 out of 5","4 out of 5 stars","+26"
"151",9,"Chig Okonkwo",WAS,"TE18","7","4 out of 5","4 out of 5","1 out of 5 stars","+48"
"152",9,"Tre Tucker",LV,"WR59","13","4 out of 5","2 out of 5","2 out of 5 stars","+21"
"153",9,"Mike Washington Jr.",LV,"RB51","13","4 out of 5","4 out of 5","2 out of 5 stars","-15"
"154",9,"Houston Texans",HOU,"DST1","8","-","-","2 out of 5 stars","-51"
"155",9,"Brenton Strange",JAC,"TE19","7","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"156",9,"Hunter Henry",NE,"TE20","11","2 out of 5","4 out of 5","4 out of 5 stars","0"
"157",9,"Alvin Kamara",NO,"RB52","8","2 out of 5","4 out of 5","3 out of 5 stars","+1"
"158",9,"Tank Bigsby",PHI,"RB53","10","4 out of 5","4 out of 5","4 out of 5 stars","+13"
"159",10,"Isiah Pacheco",DET,"RB54","6","3 out of 5","4 out of 5","5 out of 5 stars","-4"
"160",10,"Adonai Mitchell",NYJ,"WR60","13","4 out of 5","4 out of 5","4 out of 5 stars","+74"
"161",10,"Tyrone Tracy Jr.",NYG,"RB55","8","2 out of 5","4 out of 5","4 out of 5 stars","+32"
"162",10,"Bryce Young",CAR,"QB26","5","2 out of 5","4 out of 5","2 out of 5 stars","+67"
"163",10,"Denver Broncos",DEN,"DST2","10","-","-","4 out of 5 stars","-47"
"164",10,"Braelon Allen",NYJ,"RB56","13","2 out of 5","4 out of 5","3 out of 5 stars","+36"
"165",10,"Jerry Jeudy",CLE,"WR61","11","1 out of 5","4 out of 5","3 out of 5 stars","+15"
"166",10,"Los Angeles Rams",LAR,"DST3","11","-","-","2 out of 5 stars","-52"
"167",10,"Seattle Seahawks",SEA,"DST4","11","-","-","2 out of 5 stars","-43"
"168",10,"Kayshon Boutte",HOU,"WR62","8","3 out of 5","4 out of 5","3 out of 5 stars","+29"
"169",10,"Jalen McMillan",TB,"WR63","10","4 out of 5","4 out of 5","4 out of 5 stars","+36"
"170",10,"Jauan Jennings",MIN,"WR64","6","2 out of 5","4 out of 5","5 out of 5 stars","+36"
"171",10,"Brian Robinson Jr.",ATL,"RB57","11","2 out of 5","4 out of 5","2 out of 5 stars","-6"
"172",10,"Tre' Harris",LAC,"WR65","7","4 out of 5","3 out of 5","2 out of 5 stars","+65"
"173",10,"Philadelphia Eagles",PHI,"DST5","10","-","-","0 out of 5 stars","-34"
"174",10,"Dontayvion Wicks",PHI,"WR66","10","4 out of 5","4 out of 5","4 out of 5 stars","+85"
"175",10,"Ryan Flournoy",DAL,"WR67","14","4 out of 5","3 out of 5","2 out of 5 stars","+64"
"176",10,"Pat Bryant",DEN,"WR68","10","4 out of 5","4 out of 5","2 out of 5 stars","+104"
"177",10,"Omar Cooper Jr.",NYJ,"WR69","13","3 out of 5","4 out of 5","4 out of 5 stars","+48"
"178",10,"T.J. Hockenson",MIN,"TE21","6","3 out of 5","4 out of 5","4 out of 5 stars","-12"
"179",10,"Brandon Aubrey",DAL,"K1","14","5 out of 5","1 out of 5","2 out of 5 stars","-82"
"180",10,"Ray Davis",BUF,"RB58","7","4 out of 5","4 out of 5","2 out of 5 stars","+47"
"181",10,"Malik Washington",MIA,"WR70","6","2 out of 5","4 out of 5","3 out of 5 stars","+42"
"182",10,"Pittsburgh Steelers",PIT,"DST6","9","-","-","5 out of 5 stars","-31"
"183",10,"New England Patriots",NE,"DST7","11","-","-","3 out of 5 stars","-30"
"184",10,"Jacoby Brissett",ARI,"QB27","14","3 out of 5","4 out of 5","2 out of 5 stars","+42"
