Rank,Player (Bye),POS,ESPN,Sleeper,CBS,RTSports,Fantrax,AVG,Real-Time
379,Konata Mumpfield   LAR (11),WR116,368,,,,359,363.5,
380,Kevin Harris,RB94,,267,,,,267.0,
381,Caden Davis,K37,267,,,,,267.0,
382,Anthony Miller,WR117,,270,,,,270.0,
383,Tommy Tremble   CAR (5),TE51,282,,,,451,366.5,
384,Joshua Dobbs   DET (6),QB54,273,,,,,273.0,
385,Deshaun Watson   CLE (11),QB55,,,,,274,274.0,
386,Joe Milton III   DAL (14),QB56,274,,,,,274.0,
387,Quali Conley,RB95,,274,,,,274.0,
388,Dalvin Cook,RB96,276,,,,,276.0,
389,Brandon McManus,K38,277,,,,,277.0,
390,Dominique Dafney,TE52,,277,,,,277.0,
391,Matt Prater,K39,278,,,,,278.0,
392,Luke Lachey,TE53,279,,,,,279.0,
393,Kyle Juszczyk   SF (8),RB97,281,,,,,281.0,
394,AJ Dillon   CAR (5),RB98,393,,,,350,371.5,
395,Devwah Whaley,RB99,,282,,,,282.0,
396,Kareem Hunt,RB100,295,,,,449,372.0,
397,Jalon Daniels   TB (10),QB57,284,,,,,284.0,
398,Jonnu Smith   GB (11),TE54,286,,,,,286.0,
399,Joseph Scates,WR118,,286,,,,286.0,
400,Efton Chism III   NE (11),WR119,287,,,,,287.0,
401,Austin Seibert,K40,334,415,,,,374.5,
402,Jarquez Hunter,RB101,,288,,,,288.0,
403,Kaden Wetjen   PIT (9),WR120,289,,,,,289.0,
404,Braxton Berrios,WR121,290,,,,,290.0,
405,Ollie Gordon II   MIA (6),RB102,,,,,290,290.0,
406,Charlie Smyth   NO (8),K41,,382,,,370,376.0,
407,Myles Price   MIN (6),WR122,291,,,,,291.0,
408,Chris Evans,RB103,,292,,,,292.0,
409,D.J. Montgomery   IND (13),WR123,293,,,,,293.0,
410,Trayveon Williams,RB104,294,,,,,294.0,
411,Darren Waller   CAR (5),TE55,,,,,295,295.0,240  +171
412,Andrei Iosivas   CIN (6),WR124,,,,,296,296.0,
413,Max Klare   LAR (11),TE56,452,327,,,441,406.7,
414,LeQuint Allen Jr.   JAC (7),RB105,,,,,297,297.0,
415,New York Jets DST   (13),DST32,,403,,,356,379.5,
416,Israel Abanikanda,RB106,298,,,,,298.0,
417,Camden Brown   DAL (14),WR125,,,,,298,298.0,
418,Jacob Kibodi,RB107,299,,,,,299.0,
419,Mo Alie-Cox   IND (13),TE57,315,,,,446,380.5,
420,Malachi Corley   CLE (11),WR126,480,299,,,,389.5,
421,Tyquan Thornton   KC (5),WR127,,,,,300,300.0,
422,Tommy Mellott,WR128,300,,,,,300.0,
423,Ja'Corey Brooks,WR129,301,,,,,301.0,
424,DeVonte Dedmon,WR130,,303,,,,303.0,
425,Dayton Wade,WR131,,304,,,,304.0,
426,DJ Giddens   IND (13),RB108,,,,,304,304.0,
427,Carson Beck   ARI (14),QB58,,,,,305,305.0,
428,Anthony Richardson Sr.   IND (13),QB59,353,,,,415,384.0,
429,Carson Wentz   MIN (6),QB60,392,,,,376,384.0,
430,Josh Cameron   JAC (7),WR132,377,,,,391,384.0,
431,Jelani Woods   NYJ (13),TE58,,307,,,,307.0,
432,Elijah Collins,RB109,,309,,,,309.0,
433,Tanner McKee   PHI (10),QB61,309,,,,,309.0,
434,Jalen Jackson,RB110,,310,,,,310.0,
435,Kalif Raymond   CHI (10),WR133,311,,,,,311.0,
436,Coleman Owen   IND (13),WR134,,311,,,,311.0,
437,Adam Trautman   DEN (10),TE59,313,,,,,313.0,
438,Gardner Minshew II   ARI (14),QB62,386,,,,389,387.5,
439,Malcolm Brown,RB111,,314,,,,314.0,
440,DeAndrew White,WR135,,315,,,,315.0,
441,Trey Knox,TE60,,,,,315,315.0,
442,Daniel Helm,TE61,,316,,,,316.0,
443,Adrian Martinez,QB63,,,,,316,316.0,
444,Jackson Hawes   BUF (7),TE62,316,,,,,316.0,
445,Sione Vaki   DET (6),RB112,449,,,,329,389.0,
446,Will Kacmarek   MIA (6),TE63,356,,,,422,389.0,
447,Dimitri Stanley,WR136,,317,,,,317.0,
448,Tanner Gentry,WR137,,318,,,,318.0,
449,Jimmy Horn Jr.   CAR (5),WR138,318,,,,,318.0,
450,KeAndre Lambert-Smith   LAC (7),WR139,319,,,,,319.0,
451,Ademola Faleye,TE64,,319,,,,319.0,
452,Trey Lance   LAC (7),QB64,486,,,,319,402.5,
453,Ramel Keyton,WR140,,320,,,,320.0,
454,Dohnte Meyers   CIN (6),WR141,320,,,,,320.0,
455,D.J. Foster,RB113,,321,,,,321.0,
456,Kenny Pickett   CAR (5),QB65,323,,,,,323.0,
457,Jalen Wydermyer,TE65,,323,,,,323.0,
458,B.T. Potter,K42,,,,,323,323.0,
459,Jahdae Walker   CHI (10),WR142,324,,,,,324.0,
460,Montrell Washington,WR143,,,,,325,325.0,
461,Jarveon Howard,RB114,,325,,,,325.0,
462,Darius Cooper   PHI (10),WR144,325,,,,,325.0,
463,Tez Johnson   TB (10),WR145,366,,,,421,393.5,
464,Jonathan Mingo   DAL (14),WR146,326,,,,,326.0,
465,Tre Nixon,WR147,,326,,,,326.0,
466,Durham Smythe   BAL (13),TE66,365,,,,424,394.5,
467,Ray-Ray McCloud III   CHI (10),WR148,328,,,,,328.0,
468,Lincoln Sefcik,TE67,,328,,,,328.0,
469,Kenjon Barner,RB115,,329,,,,329.0,
470,Stetson Bennett IV   LAR (11),QB66,329,,,,,329.0,
471,Devontae Booker,RB116,,330,,,,330.0,
472,Mitchell Trubisky   TEN (9),QB67,,,,,331,331.0,
473,Taysom Hill,TE68,332,,,,,332.0,
474,Michael Trigg,TE69,,332,,,,332.0,
475,Equanimeous St. Brown,WR149,333,,,,,333.0,
476,Xavier White,WR150,,333,,,,333.0,
477,Noah Fant   NO (8),TE70,358,,,,437,397.5,
478,Erick All Jr.   CIN (6),TE71,,,,,334,334.0,
479,JuJu Smith-Schuster,WR151,335,,,,,335.0,
480,John Ross,WR152,336,,,,,336.0,
481,Dylan Drummond,WR153,,336,,,,336.0,
482,Austin Ekeler,RB117,337,,,,,337.0,
483,Xavier Legette   CAR (5),WR154,,,,,337,337.0,
484,Toa Taua,RB118,,337,,,,337.0,
485,Marquez Valdes-Scantling,WR155,338,,,,,338.0,
486,Bryce Lance   NO (8),WR156,459,,,,341,400.0,
487,Xavier Smith   LAR (11),WR157,373,,,,427,400.0,
488,Andy Dalton   PHI (10),QB68,,,,,339,339.0,
489,Amari Cooper,WR158,339,,,,,339.0,
490,Demarcus Robinson   SF (8),WR159,369,,,,432,400.5,
491,Jimmy Garoppolo   LAR (11),QB69,340,,,,,340.0,
492,Darius Slayton   NYG (8),WR160,,,,,340,340.0,
493,Ian Thomas   LV (13),TE72,498,340,,,,419.0,
494,Josh Adams,RB119,,341,,,,341.0,
495,Van Jefferson,WR161,342,,,,,342.0,
496,Kadarius Toney,WR162,343,,,,,343.0,
497,Marquez Stevenson,WR163,,343,,,,343.0,
498,Michael Mayer   LV (13),TE73,,,,,343,343.0,
499,Tanner Brown   NO (8),K43,344,,,,,344.0,
500,Michael Pratt,QB70,345,,,,,345.0,
501,Parker Romo,K44,346,,,,,346.0,
502,Dominic Richardson   NYJ (13),RB120,,346,,,,346.0,
503,D.J. Williams,RB121,347,,,,,347.0,
504,Jalen Royals   KC (5),WR164,370,,,,439,404.5,
505,Anthony Gordon,QB71,,348,,,,348.0,
506,Jude McAtamney,K45,348,,,,,348.0,
507,Zane Gonzalez,K46,413,,,,397,405.0,
508,John Samuel Shenker,TE74,349,,,,,349.0,
509,Tahj Brooks   CIN (6),RB122,,,,,349,349.0,
510,Cyril Grayson Jr.,WR165,,350,,,,350.0,
511,Charlie Kolar   LAC (7),TE75,461,,,,351,406.0,
512,Ty Johnson   BUF (7),RB123,,,,,352,352.0,
513,Hunter Luepke   DAL (14),RB124,352,,,,,352.0,
514,Sage Surratt,WR166,,353,,,,353.0,
515,Tyson Bagent   CHI (10),QB72,354,,,,,354.0,
516,Tommylee Lewis,WR167,,355,,,,355.0,
517,Sam Howell   DAL (14),QB73,355,,,,,355.0,
518,Marcus Mariota   WAS (7),QB74,454,,,,363,408.5,
519,Jaylen Johnson,WR168,,356,,,,356.0,
520,Jake Browning,QB75,,,,,357,357.0,
521,Drew Sample   CIN (6),TE76,357,,,,,357.0,
522,Matt Seybert,TE77,,358,,,,358.0,
523,Marlin Klein   HOU (8),TE78,490,,,,358,424.0,
524,Cade Stover   HOU (8),TE79,359,,,,,359.0,
525,Marcus Yarns,RB125,,359,,,,359.0,
526,Salvon Ahmed,RB126,,,,,360,360.0,
527,John Bates   WAS (7),TE80,360,,,,,360.0,
528,Chamon Metayer,TE81,,360,,,,360.0,
529,Ashton Dulin   IND (13),WR169,361,,,,,361.0,
530,Tyree Mayfield,TE82,,361,,,,361.0,
531,Roman Wilson   PIT (9),WR170,363,,,,,363.0,
532,Gunnar Oakes,TE83,,364,,,,364.0,
533,Brenen Thompson   LAC (7),WR171,364,,,,,364.0,
534,Jalen Hurd,WR172,,365,,,,365.0,
535,Jalen Tolbert   MIA (6),WR173,,,,,365,365.0,
536,Reggie White Jr.,WR174,,366,,,,366.0,
537,Dean Connors,RB127,,,,,366,366.0,
538,Malik Benson   LV (13),WR175,455,,,,373,414.0,
539,Davis Allen   LAR (11),TE84,367,,,,,367.0,
540,TaMerik Williams,RB128,,367,,,,367.0,
541,MyCole Pruitt,TE85,,368,,,,368.0,
542,Matt Colburn II,RB129,,369,,,,369.0,
543,Will Shipley   PHI (10),RB130,,,,,369,369.0,
544,Luke Musgrave   GB (11),TE86,396,,,,435,415.5,
545,Jam Miller,RB131,450,,,,383,416.5,
546,Bo Melton   GB (11),WR176,372,,,,,372.0,
547,Thayer Thomas,WR177,,372,,,,372.0,
548,Trenton Cannon,RB132,,373,,,,373.0,
549,Michael Burton   CLE (11),RB133,374,,,,,374.0,
550,Cameron Scarlett,RB134,,374,,,,374.0,
551,Michael Carter,RB135,,,,,375,375.0,
552,Brevyn Spann-Ford   DAL (14),TE87,375,,,,,375.0,
553,Devon Garrison,TE88,,375,,,,375.0,
554,Tai Felton   MIN (6),WR178,376,,,,,376.0,
555,Jacques Patrick,RB136,,377,,,,377.0,
556,Cade York,K47,425,,,,414,419.5,
557,Spencer Rattler   NO (8),QB76,378,,,,,378.0,
558,Jahan Dotson   ATL (11),WR179,,,,,378,378.0,
559,Jerome Ford   WAS (7),RB137,427,,,,413,420.0,
560,Josh Whyle   GB (11),TE89,379,,,,,379.0,
561,British Brooks   HOU (8),RB138,,380,,,,380.0,
562,Sam Roush   CHI (10),TE90,380,,,,,380.0,
563,Devin Gray,WR180,,381,,,,381.0,
564,Isaac Guerendo   SF (8),RB139,,,,,381,381.0,
565,Tanner Koziol   JAC (7),TE91,,,,,382,382.0,
566,Reggie Gilliam   NE (11),RB140,384,,,,,384.0,
567,Carlos Washington Jr.,RB141,,384,,,,384.0,
568,Patrick Ricard   NYG (8),RB142,385,,,,,385.0,
569,Jacardia Wright,RB143,,,,,386,386.0,
570,Robert Tonyan   PIT (9),TE92,,,,,387,387.0,
571,Ben Skowronek   PIT (9),WR181,387,,,,,387.0,
572,Curtis Hodges,TE93,,387,,,,387.0,
573,Skyy Moore   GB (11),WR182,388,,,,,388.0,
574,Kris Leach,TE94,,388,,,,388.0,
575,Tim Patrick   NYJ (13),WR183,391,,,,,391.0,
576,Colton Dowell,WR184,,391,,,,391.0,
577,Jonathan Brady,WR185,,392,,,,392.0,
578,Sterling Shepard,WR186,,,,,393,393.0,
579,Ronnie Rivers   LAR (11),RB144,394,,,,,394.0,
580,Devon Williams,WR187,,395,,,,395.0,
581,Roschon Johnson   CHI (10),RB145,395,,,,,395.0,
582,Kenny McIntosh,RB146,,,,,395,395.0,
583,Dont'e Thornton Jr.   LV (13),WR188,477,,,,396,436.5,
584,Jake Bobo   SEA (11),WR189,397,,,,,397.0,
585,Colson Yankoff   WAS (7),TE95,398,,,,,398.0,
586,Greg Dortch,WR190,406,,,,454,430.0,
587,Jalen Milroe   SEA (11),QB77,399,,,,,399.0,
588,Will Howard   PIT (9),QB78,400,,,,,400.0,
589,Beaux Collins   ATL (11),WR191,401,,,,,401.0,
590,DeMario Douglas   NE (11),WR192,,,,,401,401.0,
591,Chip Trayanum   NYJ (13),RB147,,401,,,,401.0,
592,Justin Watson,WR193,402,,,,,402.0,
593,C.J. Ham,RB148,403,,,,,403.0,
594,Jaleel McLaughlin,RB149,431,,,,434,432.5,
595,Rodney Adams,WR194,,404,,,,404.0,
596,Tyler Conklin,TE96,404,,,,,404.0,
597,Dare Ogunbowale,RB150,405,,,,,405.0,
598,Nate Boerkircher   JAC (7),TE97,472,,,,405,438.5,
599,Keelan Cole Sr.,WR195,,406,,,,406.0,
600,Mecole Hardman Jr.,WR196,407,,,,,407.0,
601,Tutu Atwell   LAR (11),WR197,,,,,407,407.0,
602,Justin Joly,TE98,446,,,,423,434.5,
603,Ronald Jones II,RB151,,408,,,,408.0,
604,Travis Homer,RB152,408,,,,,408.0,
605,Riley Leonard   IND (13),QB79,488,,,,408,448.0,
606,David Moore,WR198,409,,,,,409.0,
607,Greg Joseph,K48,410,,,,,410.0,
608,Hal Presley III,WR199,,410,,,,410.0,
609,Connor Heyward   LV (13),TE99,484,,,,410,447.0,
610,Zay Jones,WR200,411,,,,,411.0,
611,Michael Badgley,K49,412,,,,,412.0,
612,DeAndre Hopkins   BAL (13),WR201,414,,,,,414.0,
613,Nathaniel Peat,RB153,,414,,,,414.0,
614,Derek Carr,QB80,415,,,,,415.0,
615,Zach Ertz,TE100,416,,,,,416.0,
616,Jaylin Lane   WAS (7),WR202,460,,,,418,439.0,
617,Daniel Bellinger   TEN (9),TE101,466,,,,416,441.0,
618,Dustin Hopkins,K50,417,,,,,417.0,
619,Mark Redman   GB (11),TE102,,417,,,,417.0,
620,Greg Zuerlein,K51,418,,,,,418.0,
621,Eno Benjamin,RB154,,418,,,,418.0,
622,Josh Johnson,QB81,419,,,,,419.0,
623,Tommy Sweeney,TE103,,419,,,,419.0,
624,Raheim Sanders   CLE (11),RB155,,,,,419,419.0,
625,Tom Kennedy,WR203,420,,,,,420.0,
626,Albert Okwuegbunam Jr.,TE104,421,,,,,421.0,
627,Antonio Gibson,RB156,422,,,,,422.0,
628,Kejon Owens,RB157,,422,,,,422.0,
629,Tevin Jones,WR204,,423,,,,423.0,
630,Matthew Wright,K52,423,,,,,423.0,
631,Khalil Herbert,RB158,424,,,,,424.0,
632,John Metchie III   CAR (5),WR205,,,,,425,425.0,
633,Zamir White,RB159,426,,,,,426.0,
634,Will Levis,QB82,428,,,,,428.0,
635,Isaiah Davis   NYJ (13),RB160,,,,,428,428.0,
636,Jaren Hall,QB83,429,,,,,429.0,
637,Olamide Zaccheaus   ATL (11),WR206,463,,,,429,446.0,
638,Max Duggan,QB84,430,,,,,430.0,
639,Max Bredeson   MIN (6),RB161,485,,,,430,457.5,
640,SaRodorick Thompson Jr.,RB162,432,,,,,432.0,
641,Joshua Karty,K53,433,,,,,433.0,
642,Brenden Rice,WR207,434,,,,,434.0,
643,Jordan Travis,QB85,435,,,,,435.0,
644,Devin Leary,QB86,436,,,,,436.0,
645,Oscar Delp   NO (8),TE105,474,,,,436,455.0,
646,Carson Steele,RB163,437,,,,,437.0,
647,Brayden Narveson,K54,438,,,,,438.0,
648,Savion Williams   GB (11),WR208,,,,,438,438.0,
649,Terrell Jennings,RB164,439,,,,,439.0,
650,Aaron Shampklin,RB165,440,,,,,440.0,
651,Trevor Etienne   CAR (5),RB166,,,,,440,440.0,
652,Frank Gore Jr.,RB167,441,,,,,441.0,
653,Baylor Cupp,TE106,442,,,,,442.0,
654,Jawhar Jordan,RB168,,,,,442,442.0,
655,Jermaine Jackson,WR209,443,,,,,443.0,
656,Junior Bergen   NYJ (13),WR210,444,,,,,444.0,
657,Kevin Coleman Jr.   MIA (6),WR211,448,,,,458,453.0,
658,Ulysses Bentley IV,RB169,445,,,,,445.0,
659,Xavier Hutchinson   HOU (8),WR212,,,,,445,445.0,
660,Mack Hollins   NE (11),WR213,,,,,447,447.0,
661,Jacob Saylors   DET (6),RB170,447,,,,,447.0,
662,Nick Westbrook-Ikhine   IND (13),WR214,,,,,448,448.0,
663,Treylon Burks   WAS (7),WR215,457,,,,453,455.0,
664,Kendrick Bourne   ARI (14),WR216,,,,,450,450.0,
665,Riley Nowakowski   PIT (9),TE107,451,,,,,451.0,
666,Austin Hooper   ATL (11),TE108,458,,,,456,457.0,
667,Jarrett Stidham   DEN (10),QB87,453,,,,,453.0,
668,Isaiah Bond   CLE (11),WR217,462,,,,455,458.5,
669,Dyami Brown   WAS (7),WR218,456,,,,,456.0,
670,Chris Brazzell II   CAR (5),WR219,,,,,460,460.0,
671,Brendan Sorsby,QB88,,,,,463,463.0,
672,Isaiah Williams   NYJ (13),WR220,464,,,,,464.0,
673,Tanner Hudson   CIN (6),TE109,465,,,,,465.0,
674,Ben Sinnott   WAS (7),TE110,467,,,,,467.0,
675,Jeremy Ruckert   NYJ (13),TE111,468,,,,,468.0,
676,Foster Moreau   HOU (8),TE112,470,,,,,470.0,
677,Nate Adkins   DEN (10),TE113,471,,,,,471.0,
678,Payne Durham   TB (10),TE114,473,,,,,473.0,
679,Laquon Treadwell   IND (13),WR221,475,,,,,475.0,
680,Alec Ingold   LAC (7),RB171,476,,,,,476.0,
681,Blake Whiteheart   CLE (11),TE115,478,,,,,478.0,
682,Ben Sims   MIA (6),TE116,479,,,,,479.0,
683,Derius Davis   LAC (7),WR222,481,,,,,481.0,
684,Adam Prentice,RB172,482,,,,,482.0,
685,Jacob Cowing   SF (8),WR223,483,,,,,483.0,
686,Jackson Meeks   DET (6),WR224,487,,,,,487.0,
687,Ko Kieft   TB (10),TE117,489,,,,,489.0,
688,Luke Farrell   SF (8),TE118,491,,,,,491.0,
689,Drew Ogletree   IND (13),TE119,492,,,,,492.0,
690,Josh Cuevas   BAL (13),TE120,493,,,,,493.0,
691,Eric Saubert   SEA (11),TE121,494,,,,,494.0,
692,Andrew Beck   NYJ (13),TE122,495,,,,,495.0,
693,Davis Mills   HOU (8),QB89,496,,,,,496.0,
694,Hunter Long   ARI (14),TE123,497,,,,,497.0,
695,Charlie Woerner   ATL (11),TE124,499,,,,,499.0,
696,Johnny Mundt   PHI (10),TE125,500,,,,,500.0,
